Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Adamstown Heights,Non-domestic violence related assault ,Not Alcohol Related ,0,10,12,3,6
Adamstown Heights,Offensive conduct ,Alcohol Related ,0,1,0,0,1
Adamstown Heights,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Adamstown Heights,Offensive language ,Alcohol Related ,0,0,0,0,0
Adamstown Heights,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Adelong,Domestic violence related assault ,Alcohol Related ,1,0,2,1,0
Adelong,Domestic violence related assault ,Not Alcohol Related ,4,5,3,3,2
Adelong,Non-domestic violence related assault ,Alcohol Related ,3,0,2,4,1
Adelong,Non-domestic violence related assault ,Not Alcohol Related ,3,2,5,2,0
Adelong,Offensive conduct ,Alcohol Related ,3,1,1,0,1
Adelong,Offensive conduct ,Not Alcohol Related ,0,1,0,0,0
Adelong,Offensive language ,Alcohol Related ,2,0,1,2,0
Adelong,Offensive language ,Not Alcohol Related ,0,1,0,0,0
Adjungbilly,Domestic violence related assault ,Alcohol Related ,0,0,0,0,1
Adjungbilly,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Adjungbilly,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Adjungbilly,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Adjungbilly,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Adjungbilly,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Adjungbilly,Offensive language ,Alcohol Related ,0,0,0,0,0
Adjungbilly,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Agnes Banks,Domestic violence related assault ,Alcohol Related ,3,0,4,0,0
Agnes Banks,Domestic violence related assault ,Not Alcohol Related ,0,1,3,4,2
Agnes Banks,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Agnes Banks,Non-domestic violence related assault ,Not Alcohol Related ,0,4,2,0,1
Agnes Banks,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Agnes Banks,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Agnes Banks,Offensive language ,Alcohol Related ,0,0,0,0,0
Agnes Banks,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Airds,Domestic violence related assault ,Alcohol Related ,20,12,9,6,14
Airds,Domestic violence related assault ,Not Alcohol Related ,59,55,66,30,48
Airds,Non-domestic violence related assault ,Alcohol Related ,15,12,13,4,4
Airds,Non-domestic violence related assault ,Not Alcohol Related ,41,31,27,24,21
Airds,Offensive conduct ,Alcohol Related ,2,1,2,1,2
Airds,Offensive conduct ,Not Alcohol Related ,1,0,1,1,1
Airds,Offensive language ,Alcohol Related ,5,0,2,2,4
Airds,Offensive language ,Not Alcohol Related ,2,3,3,8,2
Akolele,Domestic violence related assault ,Alcohol Related ,1,5,1,2,3
